PREDEFINED LENS DATABASE OPERANDS;;;;
OPERAND NAME;"""i"" ";"""j""";"""k""";DESCRIPTION
;(nw#3);(nw#4);(nw#5);
RD ;surf #;(not used);(not used);"Radius of curvature at surface ""i"""
CV ;surf #;(not used);(not used);"Curvature at surface ""i"""
TH ;surf #;(not used);(not used);"Thickness at surface ""i"""
CC ;surf #;(not used);(not used);"Conic constant at surface ""i"""
AC ;surf #;(not used);(not used);"2nd order aspheric at surface ""i"""
AD;surf #;(not used);(not used);"4th order aspheric at surface ""i"""
AE;surf #;(not used);(not used);"6th order aspheric at surface ""i"""
AF;surf #;(not used);(not used);"8th order aspheric at surface ""i"""
AG;surf #;(not used);(not used);"10th order aspheric at surface ""i"""
AH;surf #;(not used);(not used);"12th order aspheric at surface ""i"""
AI;surf #;(not used);(not used);"14th order aspheric at surface ""i"""
AJ;surf #;(not used);(not used);"16th order aspheric at surface ""i"""
AK;surf #;(not used);(not used);"18th order aspheric at surface ""i"""
AL;surf #;(not used);(not used);"20th order aspheric at surface ""i"""
RDTOR;surf #;(not used);(not used);"Toric radius of curvature at surface ""i"""
CVTOR;surf #;(not used);(not used);"Toric curvature at surface ""i"""
CCTOR;surf #;(not used);(not used);"Toric conic constant at surface ""i"""
ADTOR;surf #;(not used);(not used);"Toric 4th order aspheric at surface ""i"""
AETOR;surf #;(not used);(not used);"Toric 6th order aspheric at surface ""i"""
AFTOR;surf #;(not used);(not used);"Toric 8th order aspheric at surface ""i"""
AGTOR;surf #;(not used);(not used);"Toric 10th order aspheric at surface ""i"""
ALPHA;surf #;(not used);(not used);"ALPHA surface tilt angle (degrees) at surface ""i"""
BETA;surf #;(not used);(not used);"BETA surface tilt angle (degrees) at surface ""i"""
GAMMA;surf #;(not used);(not used);"GAMMA surface tilt angle (degrees) at surface ""i"""
VNUM;surf #;(not used);(not used);"V-number specifier for the ""MODEL"" glass at surface ""i"""
;;;;
DPART;surf#;(not used);(not used);"Partial Dispersion shift for the ""MODEL"" glass at surface ""i"". "
ABBE;surf#;(not used);(not used);"V-number for the  glass at surface ""i"""
;;;;It is equal to:
;;;; 
;;;;
;;;;Where:
;;;;pcw1 and pcw2 are the primary wavelength pair defined in the lens database.
PARTL;surf #;(not used);(not used);"Partial Dispersion for the glass at surface ""i"". "
;;;;It is equal to:
;;;;
;;;;Where:
;;;;pcw1 and pcw2 are the primary wavelength pair defined in the lens database.
INDEX;surf #;(not used);(not used);"Refractive index Nd or the ""MODEL"" glass at surface ""i""."
N1 to N10;surf #;(not used);(not used);"Refractive index value at wavelengths #1 to #10 at surface ""i""."
XD;surf #;(not used);(not used);"X-decenter at surface ""i"""
YD;surf #;(not used);(not used);"Y-decenter at surface ""i"""
ZD;surf #;(not used);(not used);"Z-decenter at surface ""i"""
XVERT;surf #;Global ref surf #;(not used);"Global X-coordinate of the vertex of surface ""i"", referenced to a global origin at surface ""j""."
YVERT;surf #;Global ref surf #;(not used);"Global Y-coordinate of the vertex of surface ""i"", referenced to a global origin at surface ""j""."
ZVERT;surf #;Global ref surf #;(not used);"Global Z-coordinate of the vertex of surface ""i"", referenced to a global origin at surface ""j""."
LXVERT;surf #;Global ref surf #;(not used);"Global X-direction cosine of the local X-axis of surface ""i"", referenced to a global origin at surface ""j""."
MXVERT;surf #;Global ref surf #;(not used);"Global Y-direction cosine of the local X-axis of surface ""i"", referenced to a global origin at surface ""j""."
NXVERT;surf #;Global ref surf #;(not used);"Global Z-direction cosine of the local X-axis of surface ""i"", referenced to a global origin at surface ""j""."
